id,udf_type,name,class_name,resource_id,purpose,command_format,param_desc,node_pid,tenant_id,project_id,create_user_id,modify_user_id,type,gmt_create,gmt_modified,is_deleted
315,0,POWER,null,-1,计算次幂,"POWER(numeric1, numeric2)","返回 numeric1 的 numeric2 次幂.",895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
317,0,ABS,null,-1,计算numeric的绝对值,ABS(numeric),计算numeric的绝对值.,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
319,0,MOD,null,-1,"numeric1 对 numeric2 取模","MOD(numeric1, numeric2)","返回numeric1除以numeric2的余数(模数). 仅当numeric1为负时结果为负.",895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
321,0,SQRT,null,-1,计算平方根,SQRT(numeric),计算numeric平方根.,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
323,0,LN,null,-1,计算自然数的对数,LN(numeric),返回numeric的自然对数(以e为底),895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
325,0,LOG10,null,-1,返回数字10的对数,"LOG10(numeric) ",返回numeric的对数(以10为底),895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
327,0,EXP,null,-1,计算自然指数的指数,EXP(numeric),返回自然对数e的numeric幂次方,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
329,0,CEIL,null,-1,向上取整,"CEIL(numeric) or CEILING(numeric)","求其不小于小给定实数的最小整数如：ceil(6.1)= ceil(6.9) = 7",895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
331,0,FLOOR,null,-1,向下取整,FLOOR(numeric),"求其不大于给定实数的最小整数如：FLOOR(6.1)= FLOOR(6.9) = 6",895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
333,0,SIN,null,-1,计算正弦值,SIN(numeric),计算正弦值,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
335,0,COS,null,-1,计算余弦值,COS(numeric),计算余弦值,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
337,0,TAN,null,-1,计算正切值,TAN(numeric),计算正切值,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
339,0,COT,null,-1,计算余切值,COT(numeric),计算余切值,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
341,0,ASIN,null,-1,计算反正弦值,ASIN(numeric),计算反正弦值,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
343,0,ACOS,null,-1,计算反余弦值,ACOS(numeric),计算反余弦值,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
345,0,ATAN,null,-1,计算反正切值,ATAN(numeric),计算反正切值,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
347,0,DEGREES,null,-1,弧度值转换角度值,DEGREES(numeric),弧度值转换角度值,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
349,0,RADIANS,null,-1,将角度值转换成弧度值,RADIANS(numeric),将角度值转换成弧度值,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
351,0,SIGN,null,-1,计算数字的标志,SIGN(numeric),"如果numeric是正数则返回1.0, 是负数则返回-1.0, 否则返回0.0 ",895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
353,0,ROUND,null,-1,取近似值,"ROUND(numeric, int)",返回numeric的保留int位小数的近似值,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
355,0,PI,null,-1,取数学常数pi,PI(),取数学常数pi,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
357,0,E,null,-1,取数学常数e,E(),取数学常数e,895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
359,0,RAND,null,-1,取随机数,"RAND() or RAND(seed integer)","返回一个0到1范围内的随机数,如果指定种子seed，则会等到一个稳定的随机数序列.",895,-1,-1,-1,-1,1,"2018-03-26 15:11:36","2018-03-26 15:11:36",0
